ScientificName,AphiaID,ScientificName_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Species
Hexanchus griseus,105833,Hexanchus griseus,Animalia,Chordata,Elasmobranchii,Hexanchiformes,Hexanchidae,Hexanchus,griseus
Maia squinado,107350,Maja squinado,Animalia,Arthropoda,Malacostraca,Decapoda,Majidae,Maia,squinado
Box boops,127047,Boops boops,Animalia,Chordata,Actinopteri,Eupercaria,Sparidae,Box,boops
Liza klunzingeri,1509598,Planiliza klunzingeri,Animalia,Chordata,Actinopteri,Mugiliformes,Mugilidae,Liza,klunzingeri
Peneus semisulcatus,107112,Penaeus semisulcatus,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Penaeus,semisulcatus
Pagus major,273976,Pagrus major,Animalia,Chordata,Actinopteri,Eupercaria,Sparidae,Pagus,major
Lactobacillus delbrueckii,,,,,,,,,
Rhodoglossum pulchrum,648617,Rhodoglossum pulchrum,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Rhodoglossum,pulchrum
Heterocapsa circularisquama,233610,Heterocapsa circularisquama,Chromista,Myzozoa,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,circularisquama
Isochrysis galbana,573884,Isochrysis galbana,Chromista,Haptophyta,Prymnesiophyceae,Isochrysidales,Isochrysidaceae,Isochrysis,galbana
Navodon septentrionalis,220081,Thamnaconus septentrionalis,Animalia,Chordata,Actinopteri,Tetraodontiformes,Monacanthidae,Navodon,septentrionalis
